Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c83ac760h   | 14      | CTC_RET_INTR        | hex://intrinsics/dinxfp?takemask#takemask_(v128x64f)                                                          | int takemask(Vector128<double> src)                                                                           | c5 f8 77 66 90 c5 f9 10 01 c5 f9 50 c0 c3
1         | 7ff7c83ac780h   | 17      | CTC_RET_INTR        | hex://intrinsics/dinxfp?takemask#takemask_(v256x32f)                                                          | int takemask(Vector256<float> src)                                                                            | c5 f8 77 66 90 c5 fd 10 01 c5 fc 50 c0 c5 f8 77 c3
2         | 7ff7c83ac7b0h   | 17      | CTC_RET_INTR        | hex://intrinsics/dinxfp?takemask#takemask_(v256x64f)                                                          | int takemask(Vector256<double> src)                                                                           | c5 f8 77 66 90 c5 fd 10 01 c5 fd 50 c0 c5 f8 77 c3
3         | 7ff7c83ac7e0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v128x32f,v128x32f)                                               | Vector128<float> vunpackhi(Vector128<float> x, Vector128<float> y)                                            | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 15 00 c5 f9 11 01 48 8b c1 c3
4         | 7ff7c83ac810h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v128x64f,v128x64f)                                               | Vector128<double> vunpackhi(Vector128<double> x, Vector128<double> y)                                         | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 15 00 c5 f9 11 01 48 8b c1 c3
5         | 7ff7c83ac840h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v256x32f,v256x32f)                                               | Vector256<float> vunpackhi(Vector256<float> x, Vector256<float> y)                                            | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 15 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
6         | 7ff7c83ac870h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v256x64f,v256x64f)                                               | Vector256<double> vunpackhi(Vector256<double> x, Vector256<double> y)                                         | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 15 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
7         | 7ff7c83ac8a0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v128x32f,v128x32f)                                               | Vector128<float> vunpacklo(Vector128<float> x, Vector128<float> y)                                            | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 14 00 c5 f9 11 01 48 8b c1 c3
8         | 7ff7c83ac8d0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v128x64f,v128x64f)                                               | Vector128<double> vunpacklo(Vector128<double> x, Vector128<double> y)                                         | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 14 00 c5 f9 11 01 48 8b c1 c3
9         | 7ff7c83ac900h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v256x32f,v256x32f)                                               | Vector256<float> vunpacklo(Vector256<float> x, Vector256<float> y)                                            | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
10        | 7ff7c83ac930h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v256x64f,v256x64f)                                               | Vector256<double> vunpacklo(Vector256<double> x, Vector256<double> y)                                         | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
11        | 7ff7c83ac960h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vand#vand_(v128x32f,v128x32f)                                                         | Vector128<float> vand(Vector128<float> x, Vector128<float> y)                                                 | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 54 00 c5 f9 11 01 48 8b c1 c3
