Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c85a7870h   | 14      | CTC_RET_INTR        | hex://intrinsics/dinxfp?takemask#takemask_(v128x64f)                                                          | int takemask(Vector128<double> src)                                                                           | c5 f8 77 66 90 c5 f9 10 01 c5 f9 50 c0 c3
1         | 7ff7c85a7890h   | 17      | CTC_RET_INTR        | hex://intrinsics/dinxfp?takemask#takemask_(v256x32f)                                                          | int takemask(Vector256<float> src)                                                                            | c5 f8 77 66 90 c5 fd 10 01 c5 fc 50 c0 c5 f8 77 c3
2         | 7ff7c85a78c0h   | 17      | CTC_RET_INTR        | hex://intrinsics/dinxfp?takemask#takemask_(v256x64f)                                                          | int takemask(Vector256<double> src)                                                                           | c5 f8 77 66 90 c5 fd 10 01 c5 fd 50 c0 c5 f8 77 c3
3         | 7ff7c85a78f0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v128x32f,v128x32f)                                               | Vector128<float> vunpackhi(Vector128<float> x, Vector128<float> y)                                            | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 15 00 c5 f9 11 01 48 8b c1 c3
4         | 7ff7c85a7920h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v128x64f,v128x64f)                                               | Vector128<double> vunpackhi(Vector128<double> x, Vector128<double> y)                                         | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 15 00 c5 f9 11 01 48 8b c1 c3
5         | 7ff7c85a7950h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v256x32f,v256x32f)                                               | Vector256<float> vunpackhi(Vector256<float> x, Vector256<float> y)                                            | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 15 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
6         | 7ff7c85a7980h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v256x64f,v256x64f)                                               | Vector256<double> vunpackhi(Vector256<double> x, Vector256<double> y)                                         | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 15 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
7         | 7ff7c85a79b0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v128x32f,v128x32f)                                               | Vector128<float> vunpacklo(Vector128<float> x, Vector128<float> y)                                            | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 14 00 c5 f9 11 01 48 8b c1 c3
8         | 7ff7c85a79e0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v128x64f,v128x64f)                                               | Vector128<double> vunpacklo(Vector128<double> x, Vector128<double> y)                                         | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 14 00 c5 f9 11 01 48 8b c1 c3
9         | 7ff7c85a7a10h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v256x32f,v256x32f)                                               | Vector256<float> vunpacklo(Vector256<float> x, Vector256<float> y)                                            | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
10        | 7ff7c85a7a40h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v256x64f,v256x64f)                                               | Vector256<double> vunpacklo(Vector256<double> x, Vector256<double> y)                                         | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
11        | 7ff7c85a7a70h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vand#vand_(v128x32f,v128x32f)                                                         | Vector128<float> vand(Vector128<float> x, Vector128<float> y)                                                 | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 54 00 c5 f9 11 01 48 8b c1 c3
12        | 7ff7c85a7aa0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vand#vand_(v128x64f,v128x64f)                                                         | Vector128<double> vand(Vector128<double> x, Vector128<double> y)                                              | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 54 00 c5 f9 11 01 48 8b c1 c3
13        | 7ff7c85a7ad0h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vand#vand_(v256x32f,v256x32f)                                                         | Vector256<float> vand(Vector256<float> x, Vector256<float> y)                                                 | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
14        | 7ff7c85a7b00h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vand#vand_(v256x64f,v256x64f)                                                         | Vector256<double> vand(Vector256<double> x, Vector256<double> y)                                              | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
15        | 7ff7c85a7b30h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vandnot#vandnot_(v128x32f,v128x32f)                                                   | Vector128<float> vandnot(Vector128<float> x, Vector128<float> y)                                              | c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 55 02 c5 f9 11 01 48 8b c1 c3
16        | 7ff7c85a7b60h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vandnot#vandnot_(v128x64f,v128x64f)                                                   | Vector128<double> vandnot(Vector128<double> x, Vector128<double> y)                                           | c5 f8 77 66 90 c4 c1 79 10 00 c5 f9 55 02 c5 f9 11 01 48 8b c1 c3
17        | 7ff7c85a7b90h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vandnot#vandnot_(v256x32f,v256x32f)                                                   | Vector256<float> vandnot(Vector256<float> x, Vector256<float> y)                                              | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fc 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3
18        | 7ff7c85a7bc0h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vandnot#vandnot_(v256x64f,v256x64f)                                                   | Vector256<double> vandnot(Vector256<double> x, Vector256<double> y)                                           | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fd 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3
19        | 7ff7c85a7bf0h   | 30      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor1#vxor1_(v128x32f)                                                                | Vector128<float> vxor1(Vector128<float> x)                                                                    | c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f8 c2 c1 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3
20        | 7ff7c85a7c30h   | 30      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor1#vxor1_(v128x64f)                                                                | Vector128<double> vxor1(Vector128<double> x)                                                                  | c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f9 c2 c1 00 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3
21        | 7ff7c85a7c70h   | 33      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor1#vxor1_(v256x32f)                                                                | Vector256<float> vxor1(Vector256<float> x)                                                                    | c5 f8 77 66 90 c5 fc 57 c0 c5 f4 57 c9 c5 fc c2 c1 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3
