Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c8653ed0h   | 9       | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[8u](8u)                                                                     | byte AsU8<byte>(byte src)                                                                                     | 0f 1f 44 00 00 0f b6 c1 c3
1         | 7ff7c8653ef0h   | 10      | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[8i](8i)                                                                     | byte AsU8<sbyte>(sbyte src)                                                                                   | 0f 1f 44 00 00 48 0f be c1 c3
2         | 7ff7c8653f10h   | 22      | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[16u](16u)                                                                   | byte AsU8<ushort>(ushort src)                                                                                 | 50 0f 1f 40 00 0f b7 c1 89 44 24 04 0f b6 44 24 04 48 83 c4 08 c3
3         | 7ff7c8653f40h   | 23      | CTC_RET_ZED_SBB     | hex://root/as.numeric?AsU8#AsU8_g[16i](16i)                                                                   | byte AsU8<short>(short src)                                                                                   | 50 0f 1f 40 00 48 0f bf c1 89 44 24 04 0f b6 44 24 04 48 83 c4 08 c3
4         | 7ff7c8653f70h   | 19      | CTC_RET_ZED_SBB     | hex://root/as.numeric?AsU8#AsU8_g[32u](32u)                                                                   | byte AsU8<uint>(uint src)                                                                                     | 50 0f 1f 40 00 89 4c 24 04 0f b6 44 24 04 48 83 c4 08 c3
5         | 7ff7c86543a0h   | 19      | CTC_RET_ZED_SBB     | hex://root/as.numeric?AsU8#AsU8_g[32i](32i)                                                                   | byte AsU8<int>(int src)                                                                                       | 50 0f 1f 40 00 89 4c 24 04 0f b6 44 24 04 48 83 c4 08 c3
6         | 7ff7c86543d0h   | 18      | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[64u](64u)                                                                   | byte AsU8<ulong>(ulong src)                                                                                   | 50 0f 1f 40 00 48 89 0c 24 0f b6 04 24 48 83 c4 08 c3
7         | 7ff7c8654400h   | 18      | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[64i](64i)                                                                   | byte AsU8<long>(long src)                                                                                     | 50 0f 1f 40 00 48 89 0c 24 0f b6 04 24 48 83 c4 08 c3
8         | 7ff7c8654430h   | 21      | CTC_RET_INTR        | hex://root/as.numeric?AsU8#AsU8_g[32f](32f)                                                                   | byte AsU8<float>(float src)                                                                                   | 50 c5 f8 77 90 c5 fa 11 44 24 04 0f b6 44 24 04 48 83 c4 08 c3
9         | 7ff7c8654870h   | 19      | CTC_RET_INTR        | hex://root/as.numeric?AsU8#AsU8_g[64f](64f)                                                                   | byte AsU8<double>(double src)                                                                                 | 50 c5 f8 77 90 c5 fb 11 04 24 0f b6 04 24 48 83 c4 08 c3
