Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c85a02f0h   | 9       | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[8u](8u)                                                                     | byte AsU8<byte>(byte src)                                                                                     | 0f 1f 44 00 00 0f b6 c1 c3
1         | 7ff7c85a0310h   | 10      | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[8i](8i)                                                                     | byte AsU8<sbyte>(sbyte src)                                                                                   | 0f 1f 44 00 00 48 0f be c1 c3
2         | 7ff7c85a0330h   | 22      | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[16u](16u)                                                                   | byte AsU8<ushort>(ushort src)                                                                                 | 50 0f 1f 40 00 0f b7 c1 89 44 24 04 0f b6 44 24 04 48 83 c4 08 c3
3         | 7ff7c85a0770h   | 23      | CTC_RET_ZED_SBB     | hex://root/as.numeric?AsU8#AsU8_g[16i](16i)                                                                   | byte AsU8<short>(short src)                                                                                   | 50 0f 1f 40 00 48 0f bf c1 89 44 24 04 0f b6 44 24 04 48 83 c4 08 c3
4         | 7ff7c85a07a0h   | 19      | CTC_RET_ZED_SBB     | hex://root/as.numeric?AsU8#AsU8_g[32u](32u)                                                                   | byte AsU8<uint>(uint src)                                                                                     | 50 0f 1f 40 00 89 4c 24 04 0f b6 44 24 04 48 83 c4 08 c3
5         | 7ff7c85a07d0h   | 19      | CTC_RET_ZED_SBB     | hex://root/as.numeric?AsU8#AsU8_g[32i](32i)                                                                   | byte AsU8<int>(int src)                                                                                       | 50 0f 1f 40 00 89 4c 24 04 0f b6 44 24 04 48 83 c4 08 c3
6         | 7ff7c85a0800h   | 18      | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[64u](64u)                                                                   | byte AsU8<ulong>(ulong src)                                                                                   | 50 0f 1f 40 00 48 89 0c 24 0f b6 04 24 48 83 c4 08 c3
7         | 7ff7c85a0830h   | 18      | CTC_RET_Zx3         | hex://root/as.numeric?AsU8#AsU8_g[64i](64i)                                                                   | byte AsU8<long>(long src)                                                                                     | 50 0f 1f 40 00 48 89 0c 24 0f b6 04 24 48 83 c4 08 c3
8         | 7ff7c85a0c60h   | 21      | CTC_RET_INTR        | hex://root/as.numeric?AsU8#AsU8_g[32f](32f)                                                                   | byte AsU8<float>(float src)                                                                                   | 50 c5 f8 77 90 c5 fa 11 44 24 04 0f b6 44 24 04 48 83 c4 08 c3
9         | 7ff7c85a0c90h   | 19      | CTC_RET_INTR        | hex://root/as.numeric?AsU8#AsU8_g[64f](64f)                                                                   | byte AsU8<double>(double src)                                                                                 | 50 c5 f8 77 90 c5 fb 11 04 24 0f b6 04 24 48 83 c4 08 c3
10        | 7ff7c85a0cc0h   | 9       | CTC_RET_Zx3         | hex://root/as.numeric?AsI8#AsI8_g[8u](8u)                                                                     | sbyte AsI8<byte>(byte src)                                                                                    | 0f 1f 44 00 00 0f b6 c1 c3
11        | 7ff7c85a10f0h   | 10      | CTC_RET_Zx3         | hex://root/as.numeric?AsI8#AsI8_g[8i](8i)                                                                     | sbyte AsI8<sbyte>(sbyte src)                                                                                  | 0f 1f 44 00 00 48 0f be c1 c3
12        | 7ff7c85a1110h   | 23      | CTC_RET_ZED_SBB     | hex://root/as.numeric?AsI8#AsI8_g[16u](16u)                                                                   | sbyte AsI8<ushort>(ushort src)                                                                                | 50 0f 1f 40 00 0f b7 c1 89 44 24 04 48 0f be 44 24 04 48 83 c4 08 c3
13        | 7ff7c85a1140h   | 24      | CTC_RET_SBB         | hex://root/as.numeric?AsI8#AsI8_g[16i](16i)                                                                   | sbyte AsI8<short>(short src)                                                                                  | 50 0f 1f 40 00 48 0f bf c1 89 44 24 04 48 0f be 44 24 04 48 83 c4 08 c3
14        | 7ff7c85a1170h   | 20      | CTC_RET_SBB         | hex://root/as.numeric?AsI8#AsI8_g[32u](32u)                                                                   | sbyte AsI8<uint>(uint src)                                                                                    | 50 0f 1f 40 00 89 4c 24 04 48 0f be 44 24 04 48 83 c4 08 c3
15        | 7ff7c85a11a0h   | 20      | CTC_RET_SBB         | hex://root/as.numeric?AsI8#AsI8_g[32i](32i)                                                                   | sbyte AsI8<int>(int src)                                                                                      | 50 0f 1f 40 00 89 4c 24 04 48 0f be 44 24 04 48 83 c4 08 c3
16        | 7ff7c85a15d0h   | 19      | CTC_RET_ZED_SBB     | hex://root/as.numeric?AsI8#AsI8_g[64u](64u)                                                                   | sbyte AsI8<ulong>(ulong src)                                                                                  | 50 0f 1f 40 00 48 89 0c 24 48 0f be 04 24 48 83 c4 08 c3
17        | 7ff7c85a1600h   | 19      | CTC_RET_ZED_SBB     | hex://root/as.numeric?AsI8#AsI8_g[64i](64i)                                                                   | sbyte AsI8<long>(long src)                                                                                    | 50 0f 1f 40 00 48 89 0c 24 48 0f be 04 24 48 83 c4 08 c3
18        | 7ff7c85a1630h   | 22      | CTC_RET_INTR        | hex://root/as.numeric?AsI8#AsI8_g[32f](32f)                                                                   | sbyte AsI8<float>(float src)                                                                                  | 50 c5 f8 77 90 c5 fa 11 44 24 04 48 0f be 44 24 04 48 83 c4 08 c3
