Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c82990f0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[8u](n128,8u)                                                      | int blocklen<byte>(N128 w, byte t)                                                                            | 0f 1f 44 00 00 b8 10 00 00 00 c3
1         | 7ff7c8299110h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[8i](n128,8i)                                                      | int blocklen<sbyte>(N128 w, sbyte t)                                                                          | 0f 1f 44 00 00 b8 10 00 00 00 c3
2         | 7ff7c8299130h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[16u](n128,16u)                                                    | int blocklen<ushort>(N128 w, ushort t)                                                                        | 0f 1f 44 00 00 b8 08 00 00 00 c3
3         | 7ff7c8299150h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[16i](n128,16i)                                                    | int blocklen<short>(N128 w, short t)                                                                          | 0f 1f 44 00 00 b8 08 00 00 00 c3
4         | 7ff7c8299170h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[32u](n128,32u)                                                    | int blocklen<uint>(N128 w, uint t)                                                                            | 0f 1f 44 00 00 b8 04 00 00 00 c3
5         | 7ff7c8299190h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[32i](n128,32i)                                                    | int blocklen<int>(N128 w, int t)                                                                              | 0f 1f 44 00 00 b8 04 00 00 00 c3
6         | 7ff7c82991b0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[64u](n128,64u)                                                    | int blocklen<ulong>(N128 w, ulong t)                                                                          | 0f 1f 44 00 00 b8 02 00 00 00 c3
7         | 7ff7c82991d0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[64i](n128,64i)                                                    | int blocklen<long>(N128 w, long t)                                                                            | 0f 1f 44 00 00 b8 02 00 00 00 c3
8         | 7ff7c82991f0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[32f](n128,32f)                                                    | int blocklen<float>(N128 w, float t)                                                                          | 0f 1f 44 00 00 b8 04 00 00 00 c3
9         | 7ff7c8299210h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[64f](n128,64f)                                                    | int blocklen<double>(N128 w, double t)                                                                        | 0f 1f 44 00 00 b8 02 00 00 00 c3
10        | 7ff7c8299230h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[8u](n256,8u)                                                      | int blocklen<byte>(N256 w, byte t)                                                                            | 0f 1f 44 00 00 b8 20 00 00 00 c3
11        | 7ff7c8299250h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[8i](n256,8i)                                                      | int blocklen<sbyte>(N256 w, sbyte t)                                                                          | 0f 1f 44 00 00 b8 20 00 00 00 c3
12        | 7ff7c8299270h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[16u](n256,16u)                                                    | int blocklen<ushort>(N256 w, ushort t)                                                                        | 0f 1f 44 00 00 b8 10 00 00 00 c3
13        | 7ff7c8299290h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[16i](n256,16i)                                                    | int blocklen<short>(N256 w, short t)                                                                          | 0f 1f 44 00 00 b8 10 00 00 00 c3
14        | 7ff7c82992b0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[32u](n256,32u)                                                    | int blocklen<uint>(N256 w, uint t)                                                                            | 0f 1f 44 00 00 b8 08 00 00 00 c3
15        | 7ff7c82992d0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[32i](n256,32i)                                                    | int blocklen<int>(N256 w, int t)                                                                              | 0f 1f 44 00 00 b8 08 00 00 00 c3
16        | 7ff7c82992f0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[64u](n256,64u)                                                    | int blocklen<ulong>(N256 w, ulong t)                                                                          | 0f 1f 44 00 00 b8 04 00 00 00 c3
17        | 7ff7c8299310h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[64i](n256,64i)                                                    | int blocklen<long>(N256 w, long t)                                                                            | 0f 1f 44 00 00 b8 04 00 00 00 c3
18        | 7ff7c8299330h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[32f](n256,32f)                                                    | int blocklen<float>(N256 w, float t)                                                                          | 0f 1f 44 00 00 b8 08 00 00 00 c3
19        | 7ff7c8299350h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[64f](n256,64f)                                                    | int blocklen<double>(N256 w, double t)                                                                        | 0f 1f 44 00 00 b8 04 00 00 00 c3
20        | 7ff7c8299370h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[8u](n512,8u)                                                      | int blocklen<byte>(N512 w, byte t)                                                                            | 0f 1f 44 00 00 b8 40 00 00 00 c3
21        | 7ff7c82993b0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[8i](n512,8i)                                                      | int blocklen<sbyte>(N512 w, sbyte t)                                                                          | 0f 1f 44 00 00 b8 40 00 00 00 c3
22        | 7ff7c82993d0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[16u](n512,16u)                                                    | int blocklen<ushort>(N512 w, ushort t)                                                                        | 0f 1f 44 00 00 b8 20 00 00 00 c3
23        | 7ff7c82993f0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[16i](n512,16i)                                                    | int blocklen<short>(N512 w, short t)                                                                          | 0f 1f 44 00 00 b8 20 00 00 00 c3
24        | 7ff7c8299410h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[32u](n512,32u)                                                    | int blocklen<uint>(N512 w, uint t)                                                                            | 0f 1f 44 00 00 b8 10 00 00 00 c3
25        | 7ff7c8299430h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[32i](n512,32i)                                                    | int blocklen<int>(N512 w, int t)                                                                              | 0f 1f 44 00 00 b8 10 00 00 00 c3
26        | 7ff7c8299450h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[64u](n512,64u)                                                    | int blocklen<ulong>(N512 w, ulong t)                                                                          | 0f 1f 44 00 00 b8 08 00 00 00 c3
27        | 7ff7c8299470h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[64i](n512,64i)                                                    | int blocklen<long>(N512 w, long t)                                                                            | 0f 1f 44 00 00 b8 08 00 00 00 c3
28        | 7ff7c8299490h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[32f](n512,32f)                                                    | int blocklen<float>(N512 w, float t)                                                                          | 0f 1f 44 00 00 b8 10 00 00 00 c3
29        | 7ff7c82994b0h   | 11      | CTC_RET_ZED_SBB     | hex://datablocks/blocks?blocklen#blocklen_g[64f](n512,64f)                                                    | int blocklen<double>(N512 w, double t)                                                                        | 0f 1f 44 00 00 b8 08 00 00 00 c3
30        | 7ff7c82998e0h   | 24      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[8u](8u,b16x8u~in)                                               | void broadcast<byte>(byte data, in Block16<byte> dst)                                                         | 48 8b c2 66 90 0f b6 d1 48 8b c8 48 b8 b8 c5 75 c7 f7 7f 00 00 48 ff e0
31        | 7ff7c8299910h   | 25      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[8i](8i,b16x8i~in)                                               | void broadcast<sbyte>(sbyte data, in Block16<sbyte> dst)                                                      | 48 8b c2 66 90 48 0f be d1 48 8b c8 48 b8 80 26 0d c8 f7 7f 00 00 48 ff e0
32        | 7ff7c8299940h   | 24      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[16u](16u,b16x16u~in)                                            | void broadcast<ushort>(ushort data, in Block16<ushort> dst)                                                   | 48 8b c2 66 90 0f b7 d1 48 8b c8 48 b8 20 36 a2 c7 f7 7f 00 00 48 ff e0
33        | 7ff7c8299970h   | 25      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[16i](16i,b16x16i~in)                                            | void broadcast<short>(short data, in Block16<short> dst)                                                      | 48 8b c2 66 90 48 0f bf d1 48 8b c8 48 b8 00 28 0d c8 f7 7f 00 00 48 ff e0
34        | 7ff7c8299db0h   | 24      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[8u](8u,b32x8u~in)                                               | void broadcast<byte>(byte data, in Block32<byte> dst)                                                         | 48 8b c2 66 90 0f b6 d1 48 8b c8 48 b8 b8 c5 75 c7 f7 7f 00 00 48 ff e0
35        | 7ff7c8299de0h   | 25      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[8i](8i,b32x8i~in)                                               | void broadcast<sbyte>(sbyte data, in Block32<sbyte> dst)                                                      | 48 8b c2 66 90 48 0f be d1 48 8b c8 48 b8 80 26 0d c8 f7 7f 00 00 48 ff e0
36        | 7ff7c8299e10h   | 24      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[16u](16u,b32x16u~in)                                            | void broadcast<ushort>(ushort data, in Block32<ushort> dst)                                                   | 48 8b c2 66 90 0f b7 d1 48 8b c8 48 b8 20 36 a2 c7 f7 7f 00 00 48 ff e0
37        | 7ff7c8299e40h   | 25      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[16i](16i,b32x16i~in)                                            | void broadcast<short>(short data, in Block32<short> dst)                                                      | 48 8b c2 66 90 48 0f bf d1 48 8b c8 48 b8 00 28 0d c8 f7 7f 00 00 48 ff e0
38        | 7ff7c8299e70h   | 23      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[32u](32u,b32x32u~in)                                            | void broadcast<uint>(uint data, in Block32<uint> dst)                                                         | 8b c1 0f 1f 00 48 8b ca 8b d0 48 b8 30 38 a2 c7 f7 7f 00 00 48 ff e0
39        | 7ff7c8299ea0h   | 23      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[32i](32i,b32x32i~in)                                            | void broadcast<int>(int data, in Block32<int> dst)                                                            | 8b c1 0f 1f 00 48 8b ca 8b d0 48 b8 38 9e a0 c7 f7 7f 00 00 48 ff e0
40        | 7ff7c8299ed0h   | 25      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[32f](32f,b32x32f~in)                                            | void broadcast<float>(float data, in Block32<float> dst)                                                      | c5 f8 77 66 90 48 8b ca c5 f8 28 c8 48 b8 60 42 0d c8 f7 7f 00 00 48 ff e0
41        | 7ff7c829a310h   | 24      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[8u](8u,b64x8u~in)                                               | void broadcast<byte>(byte data, in Block64<byte> dst)                                                         | 48 8b c2 66 90 0f b6 d1 48 8b c8 48 b8 b8 c5 75 c7 f7 7f 00 00 48 ff e0
42        | 7ff7c829a340h   | 25      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[8i](8i,b64x8i~in)                                               | void broadcast<sbyte>(sbyte data, in Block64<sbyte> dst)                                                      | 48 8b c2 66 90 48 0f be d1 48 8b c8 48 b8 80 26 0d c8 f7 7f 00 00 48 ff e0
43        | 7ff7c829a370h   | 24      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[16u](16u,b64x16u~in)                                            | void broadcast<ushort>(ushort data, in Block64<ushort> dst)                                                   | 48 8b c2 66 90 0f b7 d1 48 8b c8 48 b8 20 36 a2 c7 f7 7f 00 00 48 ff e0
44        | 7ff7c829a3a0h   | 25      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[16i](16i,b64x16i~in)                                            | void broadcast<short>(short data, in Block64<short> dst)                                                      | 48 8b c2 66 90 48 0f bf d1 48 8b c8 48 b8 00 28 0d c8 f7 7f 00 00 48 ff e0
45        | 7ff7c829a3d0h   | 23      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[32u](32u,b64x32u~in)                                            | void broadcast<uint>(uint data, in Block64<uint> dst)                                                         | 8b c1 0f 1f 00 48 8b ca 8b d0 48 b8 30 38 a2 c7 f7 7f 00 00 48 ff e0
46        | 7ff7c829a400h   | 23      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[32i](32i,b64x32i~in)                                            | void broadcast<int>(int data, in Block64<int> dst)                                                            | 8b c1 0f 1f 00 48 8b ca 8b d0 48 b8 38 9e a0 c7 f7 7f 00 00 48 ff e0
47        | 7ff7c829a430h   | 24      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[64u](64u,b64x64u~in)                                            | void broadcast<ulong>(ulong data, in Block64<ulong> dst)                                                      | 48 8b c1 66 90 48 8b ca 48 8b d0 48 b8 30 3b a2 c7 f7 7f 00 00 48 ff e0
48        | 7ff7c829a860h   | 24      | CTC_JMP_RAX         | hex://datablocks/blocks?broadcast#broadcast_g[64i](64i,b64x64i~in)                                            | void broadcast<long>(long data, in Block64<long> dst)                                                         | 48 8b c1 66 90 48 8b ca 48 8b d0 48 b8 18 41 0d c8 f7 7f 00 00 48 ff e0
