Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c85d23f0h   | 29      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?load#load_g[32f](32f)                                                                | Vector128<float> load<float>(float src)                                                                       | 50 c5 f8 77 90 c5 fa 11 4c 24 04 c5 fa 10 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
1         | 7ff7c85d2830h   | 27      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?load#load_g[64f](64f)                                                                | Vector128<double> load<double>(double src)                                                                    | 50 c5 f8 77 90 c5 fb 11 0c 24 c5 fb 10 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
2         | 7ff7c85d2870h   | 47      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?store#store_g[32f](v128x32f)                                                         | float store<float>(Vector128<float> src)                                                                      | 50 c5 f8 77 33 c0 89 44 24 04 c5 f9 10 01 c5 f0 57 c9 c5 fa 11 4c 24 04 c5 fa 11 4c 24 04 c5 fa 11 44 24 04 c5 fa 10 44 24 04 48 83 c4 08 c3
3         | 7ff7c85d28c0h   | 43      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?store#store_g[64f](v128x64f)                                                         | double store<double>(Vector128<double> src)                                                                   | 50 c5 f8 77 33 c0 48 89 04 24 c5 f9 10 01 c5 f0 57 c9 c5 fb 11 0c 24 c5 fb 11 0c 24 c5 fb 11 04 24 c5 fb 10 04 24 48 83 c4 08 c3
4         | 7ff7c85d2910h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?add#add_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> add<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 58 c1 c5 f9 11 01 48 8b c1 c3
5         | 7ff7c85d2940h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?add#add_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> add<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 58 c1 c5 f9 11 01 48 8b c1 c3
6         | 7ff7c85d2970h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?sub#sub_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> sub<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 5c c1 c5 f9 11 01 48 8b c1 c3
7         | 7ff7c85d29a0h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?sub#sub_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> sub<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 5c c1 c5 f9 11 01 48 8b c1 c3
8         | 7ff7c85d29d0h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?mul#mul_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> mul<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 59 c1 c5 f9 11 01 48 8b c1 c3
9         | 7ff7c85d2a00h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?mul#mul_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> mul<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 59 c1 c5 f9 11 01 48 8b c1 c3
10        | 7ff7c85d2e40h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?div#div_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> div<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 5e c1 c5 f9 11 01 48 8b c1 c3
11        | 7ff7c85d2e70h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?div#div_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> div<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 5e c1 c5 f9 11 01 48 8b c1 c3
12        | 7ff7c85d2ea0h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?min#min_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> min<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 5d c1 c5 f9 11 01 48 8b c1 c3
13        | 7ff7c85d2ed0h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?min#min_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> min<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 5d c1 c5 f9 11 01 48 8b c1 c3
14        | 7ff7c85d2f00h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?max#max_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> max<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 5f c1 c5 f9 11 01 48 8b c1 c3
15        | 7ff7c85d2f30h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?max#max_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> max<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 5f c1 c5 f9 11 01 48 8b c1 c3
16        | 7ff7c85d2f60h   | 23      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?ceil#ceil_g[32f](v128x32f)                                                           | Vector128<float> ceil<float>(Vector128<float> x)                                                              | c5 f8 77 66 90 c5 f9 10 02 c4 e3 79 0a c0 0a c5 f9 11 01 48 8b c1 c3
17        | 7ff7c85d2f90h   | 23      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?ceil#ceil_g[64f](v128x64f)                                                           | Vector128<double> ceil<double>(Vector128<double> x)                                                           | c5 f8 77 66 90 c5 f9 10 02 c4 e3 79 0b c0 0a c5 f9 11 01 48 8b c1 c3
18        | 7ff7c85d2fc0h   | 23      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?floor#floor_g[32f](v128x32f)                                                         | Vector128<float> floor<float>(Vector128<float> x)                                                             | c5 f8 77 66 90 c5 f9 10 02 c4 e3 79 0a c0 0a c5 f9 11 01 48 8b c1 c3
19        | 7ff7c85d3400h   | 23      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?floor#floor_g[64f](v128x64f)                                                         | Vector128<double> floor<double>(Vector128<double> x)                                                          | c5 f8 77 66 90 c5 f9 10 02 c4 e3 79 0b c0 0a c5 f9 11 01 48 8b c1 c3
20        | 7ff7c85d3430h   | 21      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?sqrt#sqrt_g[32f](v128x32f)                                                           | Vector128<float> sqrt<float>(Vector128<float> x)                                                              | c5 f8 77 66 90 c5 f9 10 02 c5 fa 51 c0 c5 f9 11 01 48 8b c1 c3
