Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c85f3fe0h   | 29      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?load#load_g[32f](32f)                                                                | Vector128<float> load<float>(float src)                                                                       | 50 c5 f8 77 90 c5 fa 11 4c 24 04 c5 fa 10 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
1         | 7ff7c85f4020h   | 27      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?load#load_g[64f](64f)                                                                | Vector128<double> load<double>(double src)                                                                    | 50 c5 f8 77 90 c5 fb 11 0c 24 c5 fb 10 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
2         | 7ff7c85f4060h   | 47      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?store#store_g[32f](v128x32f)                                                         | float store<float>(Vector128<float> src)                                                                      | 50 c5 f8 77 33 c0 89 44 24 04 c5 f9 10 01 c5 f0 57 c9 c5 fa 11 4c 24 04 c5 fa 11 4c 24 04 c5 fa 11 44 24 04 c5 fa 10 44 24 04 48 83 c4 08 c3
3         | 7ff7c85f40b0h   | 43      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?store#store_g[64f](v128x64f)                                                         | double store<double>(Vector128<double> src)                                                                   | 50 c5 f8 77 33 c0 48 89 04 24 c5 f9 10 01 c5 f0 57 c9 c5 fb 11 0c 24 c5 fb 11 0c 24 c5 fb 11 04 24 c5 fb 10 04 24 48 83 c4 08 c3
4         | 7ff7c85f4500h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?add#add_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> add<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 58 c1 c5 f9 11 01 48 8b c1 c3
5         | 7ff7c85f4530h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?add#add_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> add<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 58 c1 c5 f9 11 01 48 8b c1 c3
6         | 7ff7c85f4560h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?sub#sub_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> sub<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 5c c1 c5 f9 11 01 48 8b c1 c3
7         | 7ff7c85f4590h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?sub#sub_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> sub<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 5c c1 c5 f9 11 01 48 8b c1 c3
8         | 7ff7c85f45c0h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?mul#mul_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> mul<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 59 c1 c5 f9 11 01 48 8b c1 c3
9         | 7ff7c85f45f0h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?mul#mul_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> mul<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 59 c1 c5 f9 11 01 48 8b c1 c3
10        | 7ff7c85f4620h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?div#div_g[32f](v128x32f,v128x32f)                                                    | Vector128<float> div<float>(Vector128<float> x, Vector128<float> y)                                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fa 5e c1 c5 f9 11 01 48 8b c1 c3
11        | 7ff7c85f4650h   | 26      | CTC_RET_INTR        | hex://intrinsics/ginxsfp?div#div_g[64f](v128x64f,v128x64f)                                                    | Vector128<double> div<double>(Vector128<double> x, Vector128<double> y)                                       | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c5 fb 5e c1 c5 f9 11 01 48 8b c1 c3
