Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c86acf00h   | 62      | CTC_RET_Zx3         | hex://root/BitConvert?GetBytes#GetBytes_g[8u](8u~in)                                                          | Span<byte> GetBytes<byte>(in byte src)                                                                        | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 01 00 00 00 e8 c0 9e bb 5e 48 83 c0 10 ba 01 00 00 00 0f b6 0f 88 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
1         | 7ff7c86acf60h   | 63      | CTC_RET_ZED_SBB     | hex://root/BitConvert?GetBytes#GetBytes_g[8i](8i~in)                                                          | Span<byte> GetBytes<sbyte>(in sbyte src)                                                                      | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 01 00 00 00 e8 60 9e bb 5e 48 83 c0 10 ba 01 00 00 00 48 0f be 0f 88 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
2         | 7ff7c86acfc0h   | 63      | CTC_RET_ZED_SBB     | hex://root/BitConvert?GetBytes#GetBytes_g[16u](16u~in)                                                        | Span<byte> GetBytes<ushort>(in ushort src)                                                                    | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 02 00 00 00 e8 00 9e bb 5e 48 83 c0 10 ba 02 00 00 00 0f b7 0f 66 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
3         | 7ff7c86ad420h   | 64      | CTC_RET_SBB         | hex://root/BitConvert?GetBytes#GetBytes_g[16i](16i~in)                                                        | Span<byte> GetBytes<short>(in short src)                                                                      | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 02 00 00 00 e8 a0 99 bb 5e 48 83 c0 10 ba 02 00 00 00 48 0f bf 0f 66 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
4         | 7ff7c86ad480h   | 61      | CTC_RET_Zx3         | hex://root/BitConvert?GetBytes#GetBytes_g[32u](32u~in)                                                        | Span<byte> GetBytes<uint>(in uint src)                                                                        | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 04 00 00 00 e8 40 99 bb 5e 48 83 c0 10 ba 04 00 00 00 8b 0f 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
5         | 7ff7c86ad4e0h   | 61      | CTC_RET_Zx3         | hex://root/BitConvert?GetBytes#GetBytes_g[32i](32i~in)                                                        | Span<byte> GetBytes<int>(in int src)                                                                          | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 04 00 00 00 e8 e0 98 bb 5e 48 83 c0 10 ba 04 00 00 00 8b 0f 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
6         | 7ff7c86ad540h   | 63      | CTC_RET_ZED_SBB     | hex://root/BitConvert?GetBytes#GetBytes_g[64u](64u~in)                                                        | Span<byte> GetBytes<ulong>(in ulong src)                                                                      | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 08 00 00 00 e8 80 98 bb 5e 48 83 c0 10 ba 08 00 00 00 48 8b 0f 48 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
7         | 7ff7c86ad5a0h   | 63      | CTC_RET_ZED_SBB     | hex://root/BitConvert?GetBytes#GetBytes_g[64i](64i~in)                                                        | Span<byte> GetBytes<long>(in long src)                                                                        | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 08 00 00 00 e8 20 98 bb 5e 48 83 c0 10 ba 08 00 00 00 48 8b 0f 48 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
8         | 7ff7c86ad600h   | 68      | CTC_RET_INTR        | hex://root/BitConvert?GetBytes#GetBytes_g[32f](32f~in)                                                        | Span<byte> GetBytes<float>(in float src)                                                                      | 57 56 48 83 ec 28 c5 f8 77 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 04 00 00 00 e8 bd 97 bb 5e 48 83 c0 10 ba 04 00 00 00 c5 fa 10 07 c5 fa 11 00 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
9         | 7ff7c86ad660h   | 68      | CTC_RET_INTR        | hex://root/BitConvert?GetBytes#GetBytes_g[64f](64f~in)                                                        | Span<byte> GetBytes<double>(in double src)                                                                    | 57 56 48 83 ec 28 c5 f8 77 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 08 00 00 00 e8 5d 97 bb 5e 48 83 c0 10 ba 08 00 00 00 c5 fb 10 07 c5 fb 11 00 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3
