Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c8666fd0h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[8u](n128,n2,n1,8u)                                                       | Vector128<byte> veven<byte>(N128 w, N2 f, N1 d, byte t)                                                       | 50 c5 f8 77 90 c7 44 24 04 55 00 00 00 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
1         | 7ff7c8667010h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[16u](n128,n2,n1,16u)                                                     | Vector128<ushort> veven<ushort>(N128 w, N2 f, N1 d, ushort t)                                                 | 50 c5 f8 77 90 c7 44 24 04 55 55 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
2         | 7ff7c8667050h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[32u](n128,n2,n1,32u)                                                     | Vector128<uint> veven<uint>(N128 w, N2 f, N1 d, uint t)                                                       | 50 c5 f8 77 90 c7 44 24 04 55 55 55 55 48 8d 44 24 04 c4 e2 79 58 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
3         | 7ff7c8667090h   | 41      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[64u](n128,n2,n1,64u)                                                     | Vector128<ulong> veven<ulong>(N128 w, N2 f, N1 d, ulong t)                                                    | 50 c5 f8 77 90 48 b8 55 55 55 55 55 55 55 55 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
4         | 7ff7c86670d0h   | 40      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[8u](n256,n2,n1,8u)                                                       | Vector256<byte> veven<byte>(N256 w, N2 f, N1 d, byte t)                                                       | 50 c5 f8 77 90 c7 44 24 04 55 00 00 00 48 8d 44 24 04 c4 e2 7d 78 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
5         | 7ff7c8667110h   | 40      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[16u](n256,n2,n1,16u)                                                     | Vector256<ushort> veven<ushort>(N256 w, N2 f, N1 d, ushort t)                                                 | 50 c5 f8 77 90 c7 44 24 04 55 55 00 00 48 8d 44 24 04 c4 e2 7d 79 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
6         | 7ff7c8667150h   | 40      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[32u](n256,n2,n1,32u)                                                     | Vector256<uint> veven<uint>(N256 w, N2 f, N1 d, uint t)                                                       | 50 c5 f8 77 90 c7 44 24 04 55 55 55 55 48 8d 44 24 04 c4 e2 7d 58 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
7         | 7ff7c86675a0h   | 44      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[64u](n256,n2,n1,64u)                                                     | Vector256<ulong> veven<ulong>(N256 w, N2 f, N1 d, ulong t)                                                    | 50 c5 f8 77 90 48 b8 55 55 55 55 55 55 55 55 48 89 04 24 48 8d 04 24 c4 e2 7d 59 04 24 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
8         | 7ff7c86675f0h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[8u](n128,n2,n2,8u)                                                       | Vector128<byte> veven<byte>(N128 w, N2 f, N2 d, byte t)                                                       | 50 c5 f8 77 90 c7 44 24 04 33 00 00 00 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
9         | 7ff7c8667630h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[16u](n128,n2,n2,16u)                                                     | Vector128<ushort> veven<ushort>(N128 w, N2 f, N2 d, ushort t)                                                 | 50 c5 f8 77 90 c7 44 24 04 33 33 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
10        | 7ff7c8667670h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[32u](n128,n2,n2,32u)                                                     | Vector128<uint> veven<uint>(N128 w, N2 f, N2 d, uint t)                                                       | 50 c5 f8 77 90 c7 44 24 04 33 33 33 33 48 8d 44 24 04 c4 e2 79 58 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
11        | 7ff7c86676b0h   | 41      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[64u](n128,n2,n2,64u)                                                     | Vector128<ulong> veven<ulong>(N128 w, N2 f, N2 d, ulong t)                                                    | 50 c5 f8 77 90 48 b8 33 33 33 33 33 33 33 33 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
12        | 7ff7c86676f0h   | 40      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[8u](n256,n2,n2,8u)                                                       | Vector256<byte> veven<byte>(N256 w, N2 f, N2 d, byte t)                                                       | 50 c5 f8 77 90 c7 44 24 04 33 00 00 00 48 8d 44 24 04 c4 e2 7d 78 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
13        | 7ff7c8667730h   | 40      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[16u](n256,n2,n2,16u)                                                     | Vector256<ushort> veven<ushort>(N256 w, N2 f, N2 d, ushort t)                                                 | 50 c5 f8 77 90 c7 44 24 04 33 33 00 00 48 8d 44 24 04 c4 e2 7d 79 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
14        | 7ff7c8667770h   | 40      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[32u](n256,n2,n2,32u)                                                     | Vector256<uint> veven<uint>(N256 w, N2 f, N2 d, uint t)                                                       | 50 c5 f8 77 90 c7 44 24 04 33 33 33 33 48 8d 44 24 04 c4 e2 7d 58 44 24 04 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
15        | 7ff7c86677b0h   | 44      | CTC_RET_INTR        | hex://intrinsics/vmask?veven#veven_g[64u](n256,n2,n2,64u)                                                     | Vector256<ulong> veven<ulong>(N256 w, N2 f, N2 d, ulong t)                                                    | 50 c5 f8 77 90 48 b8 33 33 33 33 33 33 33 33 48 89 04 24 48 8d 04 24 c4 e2 7d 59 04 24 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3
16        | 7ff7c8667800h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[8u](n128,n1,n1,8u)                                                         | Vector128<byte> vlsb<byte>(N128 w, N1 f, N1 d, byte t)                                                        | 50 c5 f8 77 90 c7 44 24 04 01 00 00 00 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
17        | 7ff7c8667840h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[16u](n128,n1,n1,16u)                                                       | Vector128<ushort> vlsb<ushort>(N128 w, N1 f, N1 d, ushort t)                                                  | 50 c5 f8 77 90 c7 44 24 04 01 00 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
18        | 7ff7c8667880h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[32u](n128,n1,n1,32u)                                                       | Vector128<uint> vlsb<uint>(N128 w, N1 f, N1 d, uint t)                                                        | 50 c5 f8 77 90 c7 44 24 04 01 00 00 00 48 8d 44 24 04 c4 e2 79 58 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
19        | 7ff7c86678c0h   | 35      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[64u](n128,n1,n1,64u)                                                       | Vector128<ulong> vlsb<ulong>(N128 w, N1 f, N1 d, ulong t)                                                     | 50 c5 f8 77 90 48 c7 04 24 01 00 00 00 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
20        | 7ff7c8667900h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[8u](n128,n2,n1,8u)                                                         | Vector128<byte> vlsb<byte>(N128 w, N2 f, N1 d, byte t)                                                        | 50 c5 f8 77 90 c7 44 24 04 55 00 00 00 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
21        | 7ff7c8667940h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[16u](n128,n2,n1,16u)                                                       | Vector128<ushort> vlsb<ushort>(N128 w, N2 f, N1 d, ushort t)                                                  | 50 c5 f8 77 90 c7 44 24 04 55 55 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
22        | 7ff7c8667980h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[32u](n128,n2,n1,32u)                                                       | Vector128<uint> vlsb<uint>(N128 w, N2 f, N1 d, uint t)                                                        | 50 c5 f8 77 90 c7 44 24 04 55 55 55 55 48 8d 44 24 04 c4 e2 79 58 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
23        | 7ff7c8667dd0h   | 41      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[64u](n128,n2,n1,64u)                                                       | Vector128<ulong> vlsb<ulong>(N128 w, N2 f, N1 d, ulong t)                                                     | 50 c5 f8 77 90 48 b8 55 55 55 55 55 55 55 55 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
24        | 7ff7c8667e10h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[8u](n128,n4,n1,8u)                                                         | Vector128<byte> vlsb<byte>(N128 w, N4 f, N1 d, byte t)                                                        | 50 c5 f8 77 90 c7 44 24 04 11 00 00 00 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
25        | 7ff7c8667e50h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[16u](n128,n4,n1,16u)                                                       | Vector128<ushort> vlsb<ushort>(N128 w, N4 f, N1 d, ushort t)                                                  | 50 c5 f8 77 90 c7 44 24 04 11 11 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
26        | 7ff7c8667e90h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[32u](n128,n4,n1,32u)                                                       | Vector128<uint> vlsb<uint>(N128 w, N4 f, N1 d, uint t)                                                        | 50 c5 f8 77 90 c7 44 24 04 11 11 11 11 48 8d 44 24 04 c4 e2 79 58 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
27        | 7ff7c8667ed0h   | 41      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[64u](n128,n4,n1,64u)                                                       | Vector128<ulong> vlsb<ulong>(N128 w, N4 f, N1 d, ulong t)                                                     | 50 c5 f8 77 90 48 b8 11 11 11 11 11 11 11 11 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
28        | 7ff7c8667f10h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[8u](n128,n8,n1,8u)                                                         | Vector128<byte> vlsb<byte>(N128 w, N8 f, N1 d, byte t)                                                        | 50 c5 f8 77 90 c7 44 24 04 01 00 00 00 48 8d 44 24 04 c4 e2 79 78 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
29        | 7ff7c8667f50h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[16u](n128,n8,n1,16u)                                                       | Vector128<ushort> vlsb<ushort>(N128 w, N8 f, N1 d, ushort t)                                                  | 50 c5 f8 77 90 c7 44 24 04 01 01 00 00 48 8d 44 24 04 c4 e2 79 79 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
30        | 7ff7c8667f90h   | 37      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[32u](n128,n8,n1,32u)                                                       | Vector128<uint> vlsb<uint>(N128 w, N8 f, N1 d, uint t)                                                        | 50 c5 f8 77 90 c7 44 24 04 01 01 01 01 48 8d 44 24 04 c4 e2 79 58 44 24 04 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
31        | 7ff7c8667fd0h   | 41      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[64u](n128,n8,n1,64u)                                                       | Vector128<ulong> vlsb<ulong>(N128 w, N8 f, N1 d, ulong t)                                                     | 50 c5 f8 77 90 48 b8 01 01 01 01 01 01 01 01 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
32        | 7ff7c8668010h   | 41      | CTC_RET_INTR        | hex://intrinsics/vmask?vlsb#vlsb_g[8u](n128,n16,n1,8u)                                                        | Vector128<byte> vlsb<byte>(N128 w, N16 f, N1 d, byte t)                                                       | 50 c5 f8 77 90 48 b8 01 00 01 00 01 00 01 00 48 89 04 24 48 8d 04 24 c4 e2 79 59 04 24 c5 f9 11 01 48 8b c1 48 83 c4 08 c3
