Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c840f340h   | 17      | CTC_RET_Zx3         | hex://fixed/parity.generic?odd#odd_g[8u](8u)                                                                  | bit odd<byte>(byte a)                                                                                         | 0f 1f 44 00 00 0f b6 c1 a8 01 0f 95 c0 0f b6 c0 c3
1         | 7ff7c840f370h   | 18      | CTC_RET_Zx3         | hex://fixed/parity.generic?odd#odd_g[8i](8i)                                                                  | bit odd<sbyte>(sbyte a)                                                                                       | 0f 1f 44 00 00 48 0f be c1 a8 01 0f 95 c0 0f b6 c0 c3
2         | 7ff7c840f3a0h   | 17      | CTC_RET_Zx3         | hex://fixed/parity.generic?odd#odd_g[16u](16u)                                                                | bit odd<ushort>(ushort a)                                                                                     | 0f 1f 44 00 00 0f b7 c1 a8 01 0f 95 c0 0f b6 c0 c3
3         | 7ff7c840f3d0h   | 18      | CTC_RET_Zx3         | hex://fixed/parity.generic?odd#odd_g[16i](16i)                                                                | bit odd<short>(short a)                                                                                       | 0f 1f 44 00 00 48 0f bf c1 a8 01 0f 95 c0 0f b6 c0 c3
4         | 7ff7c840f400h   | 15      | CTC_RET_ZED_SBB     | hex://fixed/parity.generic?odd#odd_g[32u](32u)                                                                | bit odd<uint>(uint a)                                                                                         | 0f 1f 44 00 00 f6 c1 01 0f 95 c0 0f b6 c0 c3
5         | 7ff7c840f420h   | 15      | CTC_RET_ZED_SBB     | hex://fixed/parity.generic?odd#odd_g[32i](32i)                                                                | bit odd<int>(int a)                                                                                           | 0f 1f 44 00 00 f6 c1 01 0f 95 c0 0f b6 c0 c3
6         | 7ff7c840f440h   | 15      | CTC_RET_ZED_SBB     | hex://fixed/parity.generic?odd#odd_g[64u](64u)                                                                | bit odd<ulong>(ulong a)                                                                                       | 0f 1f 44 00 00 f6 c1 01 0f 95 c0 0f b6 c0 c3
7         | 7ff7c840f460h   | 15      | CTC_RET_ZED_SBB     | hex://fixed/parity.generic?odd#odd_g[64i](64i)                                                                | bit odd<long>(long a)                                                                                         | 0f 1f 44 00 00 f6 c1 01 0f 95 c0 0f b6 c0 c3
8         | 7ff7c840f480h   | 22      | CTC_RET_Zx3         | hex://fixed/parity.generic?even#even_g[8u](8u)                                                                | bit even<byte>(byte a)                                                                                        | 0f 1f 44 00 00 0f b6 c1 a8 01 0f 95 c0 0f b6 c0 f7 d0 83 e0 01 c3
9         | 7ff7c840f4b0h   | 23      | CTC_RET_ZED_SBB     | hex://fixed/parity.generic?even#even_g[8i](8i)                                                                | bit even<sbyte>(sbyte a)                                                                                      | 0f 1f 44 00 00 48 0f be c1 a8 01 0f 95 c0 0f b6 c0 f7 d0 83 e0 01 c3
10        | 7ff7c840f4e0h   | 22      | CTC_RET_Zx3         | hex://fixed/parity.generic?even#even_g[16u](16u)                                                              | bit even<ushort>(ushort a)                                                                                    | 0f 1f 44 00 00 0f b7 c1 a8 01 0f 95 c0 0f b6 c0 f7 d0 83 e0 01 c3
11        | 7ff7c840f510h   | 23      | CTC_RET_ZED_SBB     | hex://fixed/parity.generic?even#even_g[16i](16i)                                                              | bit even<short>(short a)                                                                                      | 0f 1f 44 00 00 48 0f bf c1 a8 01 0f 95 c0 0f b6 c0 f7 d0 83 e0 01 c3
12        | 7ff7c840f540h   | 20      | CTC_RET_SBB         | hex://fixed/parity.generic?even#even_g[32u](32u)                                                              | bit even<uint>(uint a)                                                                                        | 0f 1f 44 00 00 f6 c1 01 0f 95 c0 0f b6 c0 f7 d0 83 e0 01 c3
13        | 7ff7c840f970h   | 20      | CTC_RET_SBB         | hex://fixed/parity.generic?even#even_g[32i](32i)                                                              | bit even<int>(int a)                                                                                          | 0f 1f 44 00 00 f6 c1 01 0f 95 c0 0f b6 c0 f7 d0 83 e0 01 c3
14        | 7ff7c840f9a0h   | 20      | CTC_RET_SBB         | hex://fixed/parity.generic?even#even_g[64u](64u)                                                              | bit even<ulong>(ulong a)                                                                                      | 0f 1f 44 00 00 f6 c1 01 0f 95 c0 0f b6 c0 f7 d0 83 e0 01 c3
15        | 7ff7c840f9d0h   | 20      | CTC_RET_SBB         | hex://fixed/parity.generic?even#even_g[64i](64i)                                                              | bit even<long>(long a)                                                                                        | 0f 1f 44 00 00 f6 c1 01 0f 95 c0 0f b6 c0 f7 d0 83 e0 01 c3
